symbol,name,price,currency,change_percent,change_points,day_high,day_low,tech_rating
SPX,S&P 500,7499.35,USD,0.79,58.91,7508.29,7438.04,Buy
IXIC,US Composite Index,26213.73,USD,1.52,393.59,26253.04,25808.06,Buy
DJI,Dow Jones Industrial Average Index,52319.21,USD,0.26,136.46,52387.45,52033.13,Strong buy
VIX,CBOE Volatility Index,16.45,,-6.8,-1.2,17.75,16.27,Sell
TSX,S&P/TSX Composite index,34856.99,,0.1,33.17,34919.6,34727.05,Buy
UKX,UK 100 INDEX,10497.13,GBP,0.12,12.92,10613.18,10483.86,Buy
DAX,DAX Index,24995.81,,1.5,368.92,25024.27,24794.84,Strong buy
PX1,CAC 40 Index,8403.99,,0.44,36.66,8420.58,8363.23,Buy
FTMIB,MILANO ITALIA BORSA INDEX,51682.44,EUR,1.01,519.23,51746.09,51243.08,Buy
NI225,Japan 225 Index,70062.1,JPY,0.86,594.21,70667.0,69302.19,Buy
KOSPI,KOREA COMPOSITE STOCK PRICE INDEX (KOSPI),8476.49,KRW,0.97,81.83,8667.73,8220.8,Buy
000001,SSE Composite Index,4094.3972,,0.5,20.4955,4097.415,4052.17,Buy
399001,Shenzhen Component Index,16205.5565,,2.48,392.6858,16232.2326,15809.651,Strong buy
HSI,Hang Seng Index,22881.02,,-0.63,-145.66,23086.85,22685.14,Sell
STI,STRAITS TIMES INDEX,5170.66,SGD,-0.73,-38.1,5213.01,5164.01,Buy
XJO,S&P/ASX 200 Index,8778.7,,-0.51,-44.7,8836.4,8778.7,Neutral
NZ50G,S&P/NZX 50 Gross Index,13606.17,,-0.11,-15.49,13621.66,13599.27,Buy
FBMKLCI,FBM KLCI,1664.06,,-0.11,-1.85,1669.88,1661.8,Sell
COMPOSITE,IDX Composite Index,5643.194,,-3.05,-177.596,5811.669,5638.574,Strong sell
SX5E,STOXX 50,6328.1,EUR,1.55,96.46,6329.42,6247.85,Buy
IBC,IBEX 35 Index,19471.9,,0.44,84.5,19527.4,19381.6,Strong buy
SMI,Swiss Market Index,14193.92,,-0.21,-29.98,14287.62,14153.97,Buy
WIG20,WIG20 Index,3587.42,,0.69,24.48,3608.46,3536.4,Sell
AEX,AEX-Index,1080.17,,1.39,14.83,1082.07,1069.51,Buy
BEL20,BEL 20 Index,5751.36,,0.56,32.08,5775.81,5730.83,Strong buy
OMXH25,OMX Helsinki 25 Index,6237.1365,,1.41,86.7401,6239.8839,6199.1774,Neutral
OMXS30,OMX Stockholm 30 Index,3203.2155,,1.15,36.4401,3215.6533,3184.6721,Strong buy
OMXC25,OMX Copenhagen 25 Index,1817.8325,,0.7,12.6908,1842.6069,1817.7088,Strong buy
BELEX15,BELEX 15 Index,1211.5,,0.01,0.09,1213.02,1208.35,Strong sell
OMXTGI,OMX Tallinn Gross Index,2105.1615,,0.11,2.393,2110.8172,2100.0128,Buy
XU100,BIST 100 Index,14121.83,,-0.43,-61.38,14297.12,14059.15,Neutral
TA35,TA-35 Index,4066.87,,1.3,52.36,4077.5,4020.35,Sell
SA40,SOUTH AFRICA TOP 40 INDEX,101936.16,ZAR,0.1,101.86,102364.99,101419.56,Sell
NIFTY,Nifty 50 Index,23865.75,,-0.34,-80.5,24035.55,23829.2,Neutral
SENSEX,BSE Sensex Index,76478.67,,-0.33,-249.7,77037.36,76329.39,Neutral
DFMGI,DFM General Index,5955.58,,-0.63,-37.77,6026.93,5935.7,Neutral
TASI,Tadawul All Shares Index,10799.92,,0.07,7.77,10819.47,10756.51,Sell
GNRI,QE Index,10241.75,,-0.1,-10.08,10293.44,10209.14,Sell
EGX30,EGX 30 Index,50488.0,,1.33,662.4,50703.2,49825.6,Neutral
IBOV,Bovespa Index,172024.12,,-0.68,-1181.23,173204.72,170538.48,Neutral
ME,S&P/BMV IPC Index,66966.68,,-1.0,-673.91,67865.36,66894.62,Sell
IMV,S&P MERVAL Index,3168607.38,,-0.26,-8143.08,3219587.0,3155817.6,Buy
ICAP,MSCI COLCAP Index,2269.08,,-0.75,-17.11,2299.0,2269.08,Neutral
SP_IPSA,S&P IPSA Index,10839.8,,0.71,76.82,10863.36,10762.98,Strong buy
MXNUAMPEGEN,MSCI NUAM Peru General,55500.68,,0.15,83.99,55662.61,54891.84,Buy
SX5E,EURO STOXX® 50 Index – EUR (Price Return),6328.09,,1.55,96.46,6329.42,6247.85,Buy
S,SX7E EURO STOXX® Banks Index – EUR (Price Return),293.7,,1.36,3.94,293.7,289.54,Strong buy
S,SXXP STOXX® Europe 600 Index – EUR (Price Return),641.73,,0.88,5.62,643.55,638.28,Strong buy
BUX,Budapest Stock Exchange Index,139892.19,,0.58,810.22,140489.6,138976.88,Buy
GD,ATHEX Composite Index,2459.77,,-0.31,-7.73,2479.78,2459.71,Buy
BET,Bucharest Exchange Trading Index,32487.18,,1.63,519.84,32541.9,31967.34,Strong buy
IDX30,IDX 30 Index,314.271,,-3.37,-10.961,323.939,314.271,Strong sell
SET,SET Index,1591.24,,0.85,13.43,1595.23,1576.0,Strong buy
NZ50G,NZX 50 INDEX,13620.2,NZD,-0.01,-1.45,13621.66,13588.61,Strong buy
VIX,VOLATILITY S&P 500,16.46,USD,-6.8,-1.2,17.75,16.27,Sell
US30USD,US Wall St 30,52346.4,USD,0.02,13.0,52357.9,52317.9,Strong buy
NL25EUR,Netherlands 25,1083.39,EUR,1.01,10.84,1083.59,1069.95,Buy
CAC40,CAC 40,8404.0,EUR,0.44,36.66,8420.58,8363.23,Buy
HGX,PHLX Housing Sector,726.84,USD,-0.62,-4.55,732.6,723.54,Buy
MOVE,ICE BofAML U.S. Bond Market Option Volatility Estimate Index,71.96,USD,5.6,3.82,71.96,68.14,Neutral
TRJEFFCRB,THOMSON REUTERS/CORECOMMODITY CRB INDEX,353.61,USD,0.65,2.3,353.61,353.61,Sell
N100,Euronext 100 Index,1926.27,,1.33,25.33,1928.25,1901.55,Strong buy
SXXP,STOXX 600,641.74,EUR,0.88,5.62,643.55,638.28,Strong buy
IBEX35,IBEX 35,19471.91,EUR,0.44,84.5,19527.4,19381.6,Strong buy
DEU40,GERMAN STOCK INDEX (DAX),24995.82,EUR,1.5,368.92,25024.27,24794.84,Strong buy
AEX,AEX,1080.18,EUR,1.39,14.83,1082.07,1069.51,Buy
RUT,US Small Cap 2000 Index,3024.3672,USD,0.46,13.9504,3030.6138,3000.247,Strong buy
XAX,NYSE American Composite Index,7759.33,USD,-0.55,-42.6,7868.33,7756.18,Sell
XAU,PHLX Gold/Silver Sector,317.7,USD,0.08,0.25,318.5,311.69,Sell
AU200AUD,Australia 200,8794.5,AUD,-0.46,-41.0,8845.0,8775.0,Buy
SOX,PHLX Semiconductor,14246.95,USD,3.92,537.29,14332.77,13750.67,Buy
RUI,US Small Cap 1000 Index,4093.8599,USD,0.79,32.03,4098.96,4060.54,Buy
NYA,NYSE Composite Index,23834.24,USD,0.13,31.55,23869.11,23705.68,Buy
RUA,US Small Cap 3000 Index,4279.356,USD,0.77,32.886,4284.8368,4244.8794,Buy
SSMI,Swiss Market Index,14193.91,CHF,-0.21,-29.99,14287.62,14153.97,Buy
DE30EUR,Germany 30,25047.0,EUR,1.11,274.4,25071.6,24709.0,Strong buy
OSX,PHLX Oil Service Sector,89.11,USD,0.37,0.33,89.68,88.88,Sell
HK33HKD,Hong Kong 33,23022.5,HKD,0.05,11.0,23067.0,22655.0,Sell
