symbol,name,price,currency,change_percent,change_points,day_high,day_low,tech_rating
SPX,S&P 500,7584.32,USD,0.41,30.65,7598.19,7516.54,Buy
IXIC,US Composite Index,26830.97,USD,-0.09,-23.01,26923.7,26554.24,Buy
DJI,Dow Jones Industrial Average Index,51561.94,USD,1.73,874.86,51657.89,50986.1,Strong buy
VIX,CBOE Volatility Index,15.4,,-4.11,-0.66,16.8,15.18,Strong sell
TSX,S&P/TSX Composite index,35217.06,,1.19,415.52,35291.13,34886.38,Strong buy
UKX,UK 100 INDEX,10360.32,GBP,0.27,28.03,10360.32,10238.62,Sell
DAX,DAX Index,24944.95,,0.6,149.01,25009.02,24830.63,Buy
PX1,CAC 40 Index,8244.29,,1.15,93.87,8256.79,8150.89,Strong buy
FTMIB,MILANO ITALIA BORSA INDEX,50174.35,EUR,0.27,136.19,50242.44,49759.06,Buy
NI225,Japan 225 Index,67470.47,JPY,-1.36,-931.44,68051.94,66920.8,Buy
KOSPI,KOREA COMPOSITE STOCK PRICE INDEX (KOSPI),8639.42,KRW,-1.84,-162.08,8759.05,8577.3,Buy
000001,SSE Composite Index,4057.7811,,-0.64,-26.1929,4080.7178,4043.4331,Sell
399001,Shenzhen Component Index,15661.574,,-0.27,-43.1368,15745.1873,15517.935,Buy
HSI,Hang Seng Index,25253.4,,-1.48,-379.81,25499.09,25188.02,Strong sell
STI,STRAITS TIMES INDEX,5067.54,SGD,-1.38,-70.71,5112.09,5064.2,Buy
XJO,S&P/ASX 200 Index,8686.1,,-1.13,-99.6,8785.7,8652.2,Sell
NZ50G,S&P/NZX 50 Gross Index,13102.91,,0.01,1.3,13107.25,13075.05,Neutral
FBMKLCI,FBM KLCI,1683.26,,0.63,10.52,1689.83,1673.7,Sell
COMPOSITE,IDX Composite Index,5839.785,,-1.7,-101.281,5924.508,5644.234,Strong sell
SX5E,STOXX 50,6103.33,EUR,0.82,49.75,6103.33,6052.17,Strong buy
IBC,IBEX 35 Index,18276.0,,0.55,100.0,18360.0,18176.0,Strong buy
SMI,Swiss Market Index,13341.27,,0.93,122.95,13395.0,13229.21,Buy
WIG20,WIG20 Index,3679.54,,0.3,11.03,3687.7,3656.78,Buy
AEX,AEX-Index,1046.82,,0.27,2.87,1046.82,1033.54,Strong buy
BEL20,BEL 20 Index,5538.33,,0.69,38.03,5551.67,5498.06,Buy
OMXH25,OMX Helsinki 25 Index,6544.6582,,-0.88,-58.185,6596.1466,6504.8713,Buy
OMXS30,OMX Stockholm 30 Index,3135.3131,,0.03,0.8527,3153.4282,3122.3279,Buy
OMXC25,OMX Copenhagen 25 Index,1756.7665,,1.27,22.024,1765.7321,1734.9486,Neutral
BELEX15,BELEX 15 Index,1227.93,,0.1,1.23,1228.42,1216.27,Buy
OMXTGI,OMX Tallinn Gross Index,2104.092,,0.04,0.8351,2108.6604,2101.2041,Neutral
XU100,BIST 100 Index,13872.25,,-0.67,-93.4,14188.99,13680.26,Sell
TA35,TA-35 Index,4250.8,,-0.28,-12.05,4279.22,4174.74,Sell
SA40,SOUTH AFRICA TOP 40 INDEX,104621.88,ZAR,-0.59,-617.6,105435.69,104405.59,Sell
NIFTY,Nifty 50 Index,23416.55,,0.05,10.95,23465.3,23247.3,Sell
SENSEX,BSE Sensex Index,74360.01,,0.02,13.84,74544.24,73807.3,Sell
