symbol,name,price,currency,change_percent,change_points,day_high,day_low,tech_rating
SPX,S&P 500,6878.48,USD,0.64,43.99,6882.03,6855.74,Strong buy
IXIC,US Composite Index,23428.82,USD,0.52,121.2,23476.5,23362.93,Buy
DJI,Dow Jones Industrial Average Index,48362.69,USD,0.47,227.79,48457.47,48199.13,Strong buy
VIX,CBOE Volatility Index,14.08,,-5.57,-0.83,15.26,14.03,Strong sell
TSX,S&P/TSX Composite index,32000.1,CAD,0.77,244.33,32081.92,31827.56,Strong buy
UKX,UK 100 INDEX,9865.98,GBP,-0.32,-31.45,9897.96,9829.38,Buy
DAX,DAX Index,24283.97,EUR,-0.02,-4.43,24356.11,24203.37,Buy
PX1,CAC 40 Index,8121.07,EUR,-0.37,-30.31,8143.38,8099.45,Buy
FTMIB,MILANO ITALIA BORSA INDEX,44593.59,EUR,-0.37,-163.95,44797.72,44501.15,Buy
NI225,Japan 225 Index,50402.34,JPY,1.81,895.18,50590.88,49982.2,Buy
KOSPI,KOREA COMPOSITE STOCK PRICE INDEX (KOSPI),4105.93,KRW,2.12,85.37,4105.93,4083.13,Strong buy
000001,SSE Composite Index,3917.3638,CNY,0.69,26.9163,3920.0121,3900.5152,Buy
399001,Shenzhen Component Index,13332.7313,CNY,1.47,192.5169,13349.0815,13225.4013,Strong buy
HSI,Hang Seng Index,25801.77,HKD,0.43,111.24,25859.61,25671.33,Buy
STI,STRAITS TIMES INDEX,4610.3,SGD,0.89,40.51,4613.82,4590.97,Strong buy
XJO,S&P/ASX 200 Index,8699.9,AUD,0.91,78.5,8709.2,8621.4,Buy
NZ50G,S&P/NZX 50 Gross Index,13488.28,NZD,-0.15,-20.02,13508.3,13488.28,Strong buy
FBMKLCI,FTSE Bursa Malaysia KLCI Index,1671.29,MYR,0.32,5.39,1671.29,1663.12,Strong buy
COMPOSITE,IDX Composite Index,8645.844,IDR,0.42,36.293,8648.795,8609.389,Buy
SX5E,STOXX 50,5743.7,EUR,-0.29,-16.66,5770.99,5733.79,Buy
IBC,IBEX 35 Index,17158.0,EUR,-0.07,-11.8,17186.6,17093.1,Buy
SMI,Swiss Market Index,13163.66,CHF,-0.06,-8.19,13164.08,13097.51,Buy
WIG20,WIG20 Index,3173.51,PLN,0.86,27.03,3180.38,3147.67,Strong buy
AEX,AEX-Index,942.7,EUR,-0.2,-1.89,946.67,941.44,Buy
BEL20,BEL 20 Index,5056.04,EUR,-0.36,-18.48,5062.87,5036.67,Buy
