symbol,name,price,currency,change_percent,change_points,day_high,day_low,tech_rating
SPX,S&P 500,7591.7,,-0.58,-44.66,7612.86,7580.06,Sell
IXIC,US Composite Index,26081.71,USD,-0.65,-171.63,26178.25,25979.54,Sell
DJI,Dow Jones Industrial Average,52064.1,,-0.6,-316.56,52291.85,51962.71,Sell
VIX,CBOE Volatility Index,17.84,,8.38,1.38,18.17,16.29,Strong buy
TSX,S&P/TSX Composite index,35506.28,,-1.11,-400.28,35739.4,35427.46,Sell
UKX,UK 100 INDEX,10608.93,GBP,-0.57,-61.14,10688.04,10594.34,Sell
DAX,DAX Index,25361.15,,-0.84,-215.3,25612.09,25361.15,Sell
PX1,CAC 40 Index,8116.76,,-0.49,-39.91,8190.08,8114.0,Strong sell
FTMIB,MILANO ITALIA BORSA INDEX,51807.41,EUR,-0.13,-67.82,52229.33,51716.86,Sell
NI225,Japan 225 Index,65270.88,JPY,0.2,128.17,65270.95,64186.68,Sell
KOSPI,KOREA COMPOSITE STOCK PRICE INDEX (KOSPI),7033.93,KRW,-0.25,-17.72,7072.79,6898.45,Buy
000001,SSE Composite Index,3934.4,,-0.43,-17.1,3949.25,3927.35,Sell
399001,Shenzhen Component Index,13617.67,,-0.77,-105.65,13713.87,13585.6,Strong sell
HSI,Hang Seng Index,24954.47,,-1.27,-320.49,25021.81,24889.64,Strong sell
STI,STRAITS TIMES INDEX,5689.76,SGD,-0.7,-39.88,5712.89,5684.06,Neutral
XJO,S&P/ASX 200 Index,8819.4,,-1.03,-92.0,8911.4,8742.6,Sell
NZ50G,S&P/NZX 50 Gross Index,13721.7,,0.08,10.69,13740.52,13706.84,Sell
FBMKLCI,FBM KLCI,1705.52,,-0.51,-8.82,1713.08,1701.68,Sell
COMPOSITE,IDX Composite Index,6589.338,,-1.33,-88.863,6712.502,6585.563,Neutral
SX5E,STOXX 50,6268.98,EUR,-0.67,-42.59,6329.48,6262.48,Sell
IBC,IBEX 35 Index,19659.8,,-0.18,-35.5,19833.1,19614.5,Sell
SMI,Swiss Market Index,13740.1,,-0.47,-64.6,13849.33,13740.1,Sell
WIG20,WIG20 Index,4108.81,,-0.67,-27.65,4170.44,4105.12,Buy
AEX,AEX-Index,1093.27,,-0.78,-8.62,1102.51,1091.77,Sell
BEL20,BEL 20 Index,5688.83,,-0.86,-49.08,5748.52,5688.83,Sell
OMXH25,OMX Helsinki 25 Index,6508.9899,,-1.08,-70.936,6618.2217,6508.9899,Buy
OMXS30,OMX Stockholm 30 Index,3244.9841,,-0.41,-13.3777,3279.5722,3234.0433,Sell
OMXC25,OMX Copenhagen 25 Index,1880.4331,,-0.18,-3.4237,1888.545,1878.6537,Sell
BELEX15,BELEX 15 Index,1368.14,,-0.03,-0.37,1375.01,1358.19,Buy
XU100,BIST 100 Index,14393.85,,-0.77,-111.63,14569.89,14284.94,Buy
TA35,TA-35 Index,4221.44,,-1.22,-52.26,4283.22,4201.35,Buy
SA40,SOUTH AFRICA TOP 40 INDEX,107551.97,ZAR,-1.41,-1539.24,109610.18,106831.63,Sell
NIFTY,Nifty 50 Index,23477.8,,0.2,46.3,23494.95,23380.1,Sell
SENSEX,BSE Sensex Index,74902.59,,0.19,138.36,74910.96,74598.47,Sell
DFMGI,DFM General Index,5904.04,,-0.39,-23.36,5932.96,5900.1,Buy
TASI,Tadawul All Shares Index,11007.27,,-0.08,-8.45,11059.47,10993.37,Neutral
GNRI,QE Index,9824.49,,-0.27,-27.0,9866.81,9812.48,Sell
EGX30,EGX 30 Index,56280.2,,-0.39,-220.5,56720.3,56237.5,Buy
IBOV,Bovespa Index,188268.59,,1.42,2639.55,188538.85,184601.2,Buy
ME,S&P/BMV IPC Index,64106.82,,-1.09,-708.15,64675.47,64023.32,Strong sell
IMV,S&P MERVAL Index,3157852.24,,1.53,47688.76,3171924.99,3095848.37,Strong buy
ICAP,MSCI COLCAP Index,2626.71,,1.65,42.69,2627.05,2570.97,Strong buy
MXNUAMPEGEN,MSCI NUAM Peru General,59373.28,,-2.19,-1329.61,60559.59,59259.25,Neutral
SX5E,EURO STOXX® 50 Index – EUR (Price Return),6268.97,,-0.67,-42.59,6329.48,6262.48,Sell
S,SX7E EURO STOXX® Banks Index – EUR (Price Return),317.45,,-0.12,-0.37,320.59,315.17,Buy
S,SXXP STOXX® Europe 600 Index – EUR (Price Return),635.97,,-0.69,-4.44,641.82,635.68,Sell
BUX,Budapest Stock Exchange Index,149434.45,,1.02,1512.85,150023.66,147674.21,Strong buy
GD,ATHEX Composite Index,2697.58,,-0.15,-4.11,2718.34,2689.69,Buy
BET,Bucharest Exchange Trading Index,33218.54,,-1.58,-532.74,33920.71,33119.12,Sell
IDX30,IDX 30 Index,364.813,,-1.25,-4.616,371.724,364.084,Buy
SET,SET Index,1615.07,,-0.17,-2.82,1621.28,1609.66,Buy
N100,Euronext 100 Index,1886.69,,-0.53,-10.0,1901.77,1884.09,Sell
MOVE,ICE BofAML U.S. Bond Market Option Volatility Estimate Index,82.09,USD,6.98,5.35,82.09,76.74,Strong buy
HK33HKD,Hong Kong 33,24686.5,HKD,-1.23,-308.5,24975.0,24669.5,Strong sell
OSX,PHLX Oil Service Sector,104.44,USD,-0.67,-0.7,106.15,103.1,Buy
RUA,US Small Cap 3000 Index,4308.7474,USD,-0.64,-27.7311,4336.4786,4304.5806,Sell
HGX,PHLX Housing Sector,606.07,USD,-1.92,-11.85,609.87,601.12,Strong sell
RUT,US Small Cap 2000 Index,2890.9472,USD,-1.04,-30.2871,2921.2345,2886.9634,Strong sell
AEX,AEX,1093.28,EUR,-0.78,-8.62,1102.51,1091.77,Sell
NL25EUR,Netherlands 25,1090.845,EUR,-0.81,-8.91,1103.205,1090.42,Sell
SSMI,Swiss Market Index,13740.1,CHF,-0.47,-64.61,13849.33,13740.1,Sell
NYA,NYSE Composite Index,24140.63,USD,-0.7,-170.51,24311.15,24121.23,Sell
DE30EUR,Germany 30,25331.0,EUR,-0.76,-193.6,25622.6,25300.6,Sell
IBEX35,IBEX 35,19659.81,EUR,-0.18,-35.5,19833.1,19614.5,Sell
XAU,PHLX Gold/Silver Sector,397.08,USD,-3.56,-14.67,402.55,394.98,Neutral
TRJEFFCRB,THOMSON REUTERS/CORECOMMODITY CRB INDEX,429.15,USD,1.43,6.04,429.15,429.15,Strong buy
VIX,VOLATILITY S&P 500,17.85,USD,8.38,1.38,18.17,16.29,Strong buy
AU200AUD,Australia 200,8724.5,AUD,-1.01,-89.0,8820.5,8707.5,Strong sell
NZ50G,NZX 50 INDEX,13666.37,NZD,-0.33,-44.65,13740.52,13666.37,Sell
DEU40,GERMAN STOCK INDEX (DAX),25361.16,EUR,-0.84,-215.3,25612.09,25361.15,Sell
SOX,PHLX Semiconductor,11614.16,USD,-2.66,-317.16,11733.68,11561.03,Sell
CAC40,CAC 40,8116.77,EUR,-0.49,-39.91,8190.08,8114.0,Strong sell
XAX,NYSE American Composite Index,8664.55,USD,-1.35,-118.92,8783.48,8664.39,Sell
US30USD,US Wall St 30,52068.2,USD,0.03,16.0,52089.2,52038.2,Neutral
DJI,Dow Jones Industrial Average Index,52069.22,USD,-0.61,-317.03,52297.23,51968.2,Sell
RUI,US Small Cap 1000 Index,4131.3816,USD,-0.62,-25.8823,4157.264,4126.9543,Sell
SXXP,STOXX 600,635.98,EUR,-0.69,-4.44,641.82,635.68,Sell
