symbol,name,price,currency,change_percent,change_points,day_high,day_low,tech_rating
NYA,NYSE Composite Index,21136.0438,USD,-0.1,-21.89,21282.6007,21021.5663,Strong buy
XAX,NYSE American Composite Index,6664.078,USD,0.88,58.1454,6668.5025,6577.5929,Buy
RUT,US Small Cap 2000 Index,2391.0452,USD,0.48,11.4329,2407.3733,2366.7841,Strong buy
RUA,US Small Cap 3000 Index,3695.8404,USD,-0.21,-7.8021,3723.8861,3672.8843,Strong buy
RUI,US Small Cap 1000 Index,3551.1695,USD,-0.24,-8.6161,3578.3401,3529.5806,Strong buy
TRJEFFCRB,THOMSON REUTERS/CORECOMMODITY CRB INDEX,297.77,USD,-0.86,-2.58,297.77,297.77,Sell
N100,Euronext 100 Index,1582.45,EUR,-0.3,-4.83,1594.87,1577.11,Sell
SOX,PHLX Semiconductor,5761.4,USD,1.65,93.54,5792.97,5687.14,Strong buy
UTY,PHLX Utility Sector,1030.57,USD,-0.28,-2.9,1038.46,1024.71,Neutral
HGX,PHLX Housing Sector,777.41,USD,2.08,15.82,782.9,770.25,Strong buy
IBEX35,IBEX 35,14850.89,EUR,-0.45,-67.42,14985.8,14805.1,Neutral
VIX,VOLATILITY S&P 500,15.19,USD,-0.65,-0.1,16.92,14.74,Sell
DEU40,GERMAN STOCK INDEX (DAX),23596.99,EUR,-0.73,-173.35,23854.68,23546.7,Sell
OSX,PHLX Oil Service Sector,64.6,USD,-0.88,-0.57,65.52,63.9,Buy
