symbol,name,price,currency,change_percent,change_points,day_high,day_low,tech_rating
SPX,S&P 500,6969.02,USD,-0.13,-9.0,6992.84,6870.8,Buy
IXIC,US Composite Index,23685.11,USD,-0.72,-172.34,23840.55,23232.78,Buy
DJI,Dow Jones Industrial Average Index,49071.57,USD,0.11,55.96,49292.81,48597.22,Buy
VIX,CBOE Volatility Index,16.88,,3.24,0.53,19.74,16.02,Buy
TSX,S&P/TSX Composite index,33016.13,CAD,-0.48,-159.94,33427.86,32698.14,Buy
UKX,UK 100 INDEX,10171.75,GBP,0.17,17.31,10277.72,10154.17,Buy
DAX,DAX Index,24309.46,EUR,-2.07,-513.33,24758.73,24266.33,Sell
PX1,CAC 40 Index,8071.36,EUR,0.06,4.68,8145.44,8068.93,Sell
FTMIB,MILANO ITALIA BORSA INDEX,45075.59,EUR,-0.14,-63.13,45578.19,44985.18,Buy
NI225,Japan 225 Index,53375.55,JPY,0.03,16.89,53742.69,52990.42,Buy
KOSPI,KOREA COMPOSITE STOCK PRICE INDEX (KOSPI),5221.26,KRW,0.98,50.44,5252.61,5073.12,Buy
000001,SSE Composite Index,4157.9845,CNY,0.16,6.7467,4170.2138,4138.2992,Buy
399001,Shenzhen Component Index,14300.076,CNY,-0.3,-42.8181,14418.0886,14252.1971,Buy
HSI,Hang Seng Index,27968.09,HKD,0.51,141.18,28056.1,27611.9,Strong buy
STI,STRAITS TIMES INDEX,4930.04,SGD,0.42,20.69,4931.1,4902.78,Buy
XJO,S&P/ASX 200 Index,8927.5,AUD,-0.07,-6.4,8933.9,8858.9,Buy
NZ50G,S&P/NZX 50 Gross Index,13323.76,NZD,-0.19,-24.85,13358.24,13323.76,Sell
FBMKLCI,FTSE Bursa Malaysia KLCI Index,1730.89,,-1.46,-25.6,1753.31,1719.52,Buy
COMPOSITE,IDX Composite Index,8232.203,IDR,-1.06,-88.353,8296.941,7481.988,Strong sell
SX5E,STOXX 50,5891.96,EUR,-0.7,-41.25,5973.25,5879.16,Neutral
IBC,IBEX 35 Index,17589.7,EUR,-0.1,-17.9,17817.9,17542.9,Buy
SMI,Swiss Market Index,13147.93,CHF,0.95,124.12,13201.33,12941.92,Neutral
WIG20,WIG20 Index,3381.38,PLN,-0.35,-11.93,3455.14,3379.88,Buy
AEX,AEX-Index,996.93,EUR,-0.02,-0.2,1010.84,993.74,Buy
BEL20,BEL 20 Index,5373.55,EUR,-0.13,-6.86,5406.3,5364.76,Buy
OMXH25,OMX Helsinki 25 Index,5806.2526,EUR,-1.18,-69.2263,5907.3434,5800.695,Neutral
OMXS30,OMX Stockholm 30 Index,3031.3924,SEK,0.13,3.9254,3068.5462,3026.0221,Buy
OMXC25,OMX Copenhagen 25 Index,1896.9662,DKK,-0.53,-10.2012,1913.2567,1892.2105,Buy
BELEX15,BELEX 15 Index,1274.26,RSD,0.4,5.13,1275.22,1269.13,Strong buy
OMXRGI,OMX Riga Gross Index,933.444,EUR,-0.26,-2.4042,935.5671,931.5264,Buy
OMXTGI,OMX Tallinn Gross Index,2085.4993,EUR,0.02,0.3546,2089.7833,2082.6185,Buy
XU100,BIST 100 Index,13831.09,TRY,3.16,423.65,13906.51,13480.55,Strong buy
TA35,TA-35 Index,3978.87,ILS,-0.04,-1.67,4030.72,3975.95,Buy
