symbol,name,price,currency,change_percent,change_points,day_high,day_low,tech_rating
DEU40,GERMAN STOCK INDEX (DAX),25127.47,EUR,0.02,5.01,25217.52,25024.65,Buy
SXXP,STOXX 600,603.84,EUR,-0.19,-1.16,604.86,601.9,Buy
OSX,PHLX Oil Service Sector,81.87,USD,4.25,3.34,82.06,78.98,Strong buy
AU200AUD,Australia 200,8754.5,AUD,0.72,62.5,8756.5,8687.5,Strong buy
RUA,US Small Cap 3000 Index,3938.2004,USD,0.06,2.222,3944.1537,3924.6576,Buy
IBEX35,IBEX 35,17654.71,EUR,0.33,58.3,17665.5,17532.8,Buy
XAU,PHLX Gold/Silver Sector,367.3,USD,0.09,0.34,367.43,357.34,Buy
RUI,US Small Cap 1000 Index,3780.1947,USD,0.01,0.2704,3785.9115,3768.1226,Buy
N100,Euronext 100 Index,1752.48,EUR,-0.36,-6.4,1758.83,1750.26,Buy
TRJEFFCRB,THOMSON REUTERS/CORECOMMODITY CRB INDEX,302.38,USD,0.74,2.22,302.38,300.16,Buy
