symbol,name,price,currency,change_percent,change_points,day_high,day_low,tech_rating
SPX,S&P 500,7137.89,USD,1.05,73.87,7138.64,7102.91,Buy
IXIC,US Composite Index,24657.56,USD,1.64,397.59,24660.11,24421.4,Buy
DJI,Dow Jones Industrial Average Index,49490.04,USD,0.69,340.65,49624.48,49271.5,Buy
VIX,CBOE Volatility Index,18.92,,-2.97,-0.58,19.54,18.68,Sell
TSX,S&P/TSX Composite index,33955.11,CAD,0.43,146.81,34112.76,33871.8,Buy
UKX,UK 100 INDEX,10476.47,GBP,-0.21,-21.61,10523.17,10468.03,Buy
DAX,DAX Index,24194.9,EUR,-0.31,-75.97,24399.57,24151.89,Buy
PX1,CAC 40 Index,8156.43,EUR,-0.96,-79.29,8266.91,8156.43,Buy
FTMIB,MILANO ITALIA BORSA INDEX,47785.47,EUR,-0.25,-117.81,48098.89,47743.21,Buy
NI225,Japan 225 Index,59585.64,JPY,0.4,236.69,59708.21,59005.48,Buy
KOSPI,KOREA COMPOSITE STOCK PRICE INDEX (KOSPI),6417.94,KRW,0.46,29.47,6423.29,6318.51,Buy
000001,SSE Composite Index,4106.2581,CNY,0.52,21.1815,4106.8441,4074.6796,Strong buy
399001,Shenzhen Component Index,15177.2862,CNY,1.3,195.1465,15182.8216,14897.9633,Strong buy
HSI,Hang Seng Index,26163.24,HKD,-1.22,-324.24,26303.6,26073.45,Buy
STI,STRAITS TIMES INDEX,5002.73,SGD,-0.24,-12.24,5014.1,4988.45,Buy
XJO,S&P/ASX 200 Index,8843.6,AUD,-1.18,-105.8,8949.4,8838.7,Buy
NZ50G,S&P/NZX 50 Gross Index,12945.6,NZD,0.1,13.27,12958.76,12850.39,Sell
FBMKLCI,FBM KLCI,1710.39,,-0.29,-4.94,1720.46,1705.11,Buy
COMPOSITE,IDX Composite Index,7541.612,IDR,-0.24,-17.768,7578.051,7513.939,Sell
SX5E,STOXX 50,5906.23,EUR,-0.41,-24.03,5960.63,5899.75,Buy
IBC,IBEX 35 Index,18006.4,EUR,-0.75,-136.2,18222.5,17981.4,Buy
