symbol,name,price,currency,change_percent,change_points,day_high,day_low,tech_rating
SPX,S&P 500,7501.25,USD,0.77,56.99,7517.12,7454.4,Strong buy
IXIC,US Composite Index,26635.21,USD,0.88,232.87,26707.14,26423.21,Strong buy
DJI,Dow Jones Industrial Average Index,50063.47,USD,0.75,370.26,50200.54,49843.58,Buy
VIX,CBOE Volatility Index,17.26,,-3.41,-0.61,18.08,17.2,Sell
TSX,S&P/TSX Composite index,34268.27,CAD,0.67,226.84,34323.75,33997.73,Buy
UKX,UK 100 INDEX,10372.92,GBP,0.46,47.56,10375.43,10310.16,Buy
DAX,DAX Index,24456.26,EUR,1.32,319.45,24492.95,24329.74,Buy
PX1,CAC 40 Index,8082.27,EUR,0.93,74.3,8083.99,8030.63,Sell
FTMIB,MILANO ITALIA BORSA INDEX,50050.26,EUR,1.15,569.57,50050.35,49610.45,Strong buy
NI225,Japan 225 Index,62654.05,JPY,-0.98,-617.84,63799.32,62654.05,Buy
KOSPI,KOREA COMPOSITE STOCK PRICE INDEX (KOSPI),7981.42,KRW,1.75,137.4,7991.04,7842.72,Strong buy
000001,SSE Composite Index,4177.9175,CNY,-1.52,-64.6545,4258.8631,4177.9175,Buy
399001,Shenzhen Component Index,15745.736,CNY,-2.14,-344.0131,16207.7519,15745.736,Buy
HSI,Hang Seng Index,26389.04,HKD,0.0,0.6,26844.8,26366.86,Buy
STI,STRAITS TIMES INDEX,4995.95,SGD,-0.16,-8.02,5015.09,4980.53,Strong buy
XJO,S&P/ASX 200 Index,8640.7,AUD,0.12,10.3,8644.5,8602.9,Sell
NZ50G,S&P/NZX 50 Gross Index,13025.07,NZD,-0.29,-37.99,13067.04,12998.08,Sell
FBMKLCI,FBM KLCI,1745.58,,-0.04,-0.73,1750.63,1740.35,Buy
COMPOSITE,IDX Composite Index,6723.32,IDR,-1.98,-135.579,6787.345,6705.433,Strong sell
SX5E,STOXX 50,5934.97,EUR,1.26,73.9,5937.87,5877.37,Strong buy
IBC,IBEX 35 Index,17809.2,EUR,0.87,154.3,17842.8,17703.0,Buy
SMI,Swiss Market Index,13212.96,CHF,0.71,93.43,13238.37,13112.02,Buy
WIG20,WIG20 Index,3631.56,PLN,1.09,39.2,3663.09,3576.4,Buy
AEX,AEX-Index,1021.54,EUR,1.13,11.42,1024.26,1011.35,Strong buy
BEL20,BEL 20 Index,5532.41,EUR,0.43,23.63,5532.84,5502.54,Strong buy
OMXH25,OMX Helsinki 25 Index,6294.7065,EUR,1.02,63.53,6297.9769,6243.0022,Buy
OMXS30,OMX Stockholm 30 Index,3048.1143,SEK,0.05,1.4015,3070.0375,3044.3425,Sell
OMXC25,OMX Copenhagen 25 Index,1768.005,DKK,0.15,2.6295,1785.2943,1767.9292,Buy
BELEX15,BELEX 15 Index,1209.33,RSD,-0.31,-3.76,1213.09,1209.33,Strong sell
OMXRGI,OMX Riga Gross Index,896.494,EUR,1.53,13.4778,897.2993,887.8282,Buy
OMXTGI,OMX Tallinn Gross Index,2110.5672,EUR,-0.13,-2.7072,2115.8327,2107.3769,Neutral
XU100,BIST 100 Index,14644.7,TRY,0.32,46.23,14762.5,14604.35,Buy
TA35,TA-35 Index,4476.92,ILS,0.45,20.23,4496.03,4428.1,Buy
SA40,SOUTH AFRICA TOP 40 INDEX,109680.88,ZAR,-0.09,-100.62,111013.15,109267.91,Buy
NIFTY,Nifty 50 Index,23689.6,INR,1.18,277.0,23777.2,23426.55,Sell
SENSEX,BSE Sensex Index,75398.72,INR,1.06,789.74,75681.88,74526.77,Sell
DFMGI,DFM General Index,5735.38,AED,-0.41,-23.79,5777.7,5725.91,Sell
TASI,Tadawul All Shares Index,10995.44,SAR,-0.22,-24.63,11067.86,10992.76,Sell
GNRI,QE Index,10493.27,QAR,0.2,20.58,10524.98,10472.69,Sell
EGX30,EGX 30 Index,53154.8,EGP,-0.49,-261.4,53543.0,52949.7,Buy
IBOV,Bovespa Index,178365.86,BRL,0.72,1267.57,179475.97,177103.81,Sell
ME,S&P/BMV IPC Index,69206.85,MXN,-1.4,-980.6,70890.09,68836.74,Buy
IMV,S&P MERVAL Index,2747310.05,ARS,0.33,8955.56,2775576.31,2736542.06,Sell
ICAP,MSCI COLCAP Index,2121.95,,2.34,48.49,2144.07,2073.36,Sell
SP_IPSA,S&P IPSA Index,10482.27,CLP,0.82,85.77,10505.29,10344.04,Sell
MXNUAMPEGEN,MSCI NUAM Peru General,54373.64,PEN,0.0,0.0,54373.64,53290.44,Buy
SX5E,EURO STOXX® 50 Index – EUR (Price Return),5934.96,,1.26,73.89,5937.87,5877.37,Strong buy
S,SX7E EURO STOXX® Banks Index – EUR (Price Return),265.57,,1.08,2.84,265.99,263.19,Strong buy
S,SXXP STOXX® Europe 600 Index – EUR (Price Return),616.05,,0.76,4.63,616.05,612.28,Buy
BUX,Budapest Stock Exchange Index,132426.66,HUF,1.03,1355.42,133089.63,130548.73,Buy
GD,ATHEX Composite Index,2298.84,EUR,1.38,31.39,2300.69,2276.48,Strong buy
BET,Bucharest Exchange Trading Index,30131.09,RON,-0.35,-104.9,30412.84,30089.65,Buy
IDX30,IDX 30 Index,371.277,IDR,-1.49,-5.633,375.583,370.347,Strong sell
SET,SET Index,1539.12,THB,1.44,21.86,1540.07,1514.56,Strong buy
IBEX35,IBEX 35,17809.21,EUR,0.87,154.32,17842.8,17703.0,Buy
RUT,US Small Cap 2000 Index,2863.0862,USD,0.67,19.1543,2873.8693,2838.884,Buy
DE30EUR,Germany 30,24330.0,EUR,0.4,96.0,24491.5,24188.0,Buy
DEU40,GERMAN STOCK INDEX (DAX),24456.27,EUR,1.32,319.45,24492.95,24329.74,Buy
CAC40,CAC 40,8082.28,EUR,0.93,74.3,8083.99,8030.63,Sell
NYA,NYSE Composite Index,23101.84,USD,0.56,128.28,23166.63,22973.55,Buy
NL25EUR,Netherlands 25,1017.265,EUR,0.3,2.995,1024.74,1010.85,Strong buy
SXXP,STOXX 600,616.05,EUR,0.76,4.62,616.05,612.28,Buy
MOVE,ICE BofAML U.S. Bond Market Option Volatility Estimate Index,69.63,USD,-0.87,-0.61,70.24,69.63,Sell
HGX,PHLX Housing Sector,638.52,USD,0.43,2.71,643.49,637.26,Sell
XAU,PHLX Gold/Silver Sector,389.1,USD,-2.48,-9.88,397.11,387.11,Buy
NZ50G,NZX 50 INDEX,13014.55,NZD,-0.08,-10.53,13025.07,13003.58,Sell
SSMI,Swiss Market Index,13212.95,CHF,0.71,93.41,13238.37,13112.02,Buy
AU200AUD,Australia 200,8690.0,AUD,1.01,86.5,8714.0,8595.5,Sell
VIX,VOLATILITY S&P 500,17.25,USD,-3.52,-0.63,18.08,17.2,Sell
OSX,PHLX Oil Service Sector,105.62,USD,1.34,1.39,105.87,104.27,Buy
TRJEFFCRB,THOMSON REUTERS/CORECOMMODITY CRB INDEX,400.28,USD,-1.02,-4.11,400.28,400.28,Buy
HK33HKD,Hong Kong 33,26404.8,HKD,-1.84,-496.0,26935.8,26222.8,Buy
XAX,NYSE American Composite Index,9117.03,USD,-0.2,-17.84,9161.26,9032.62,Buy
