symbol,name,price,currency,change_percent,change_points,day_high,day_low,tech_rating
SPX,S&P 500,6950.22,USD,0.5,34.6,6964.66,6921.6,Buy
IXIC,US Composite Index,23601.35,USD,0.43,100.1,23688.94,23486.08,Buy
DJI,Dow Jones Industrial Average Index,49412.41,USD,0.64,313.69,49488.81,49137.65,Buy
VIX,CBOE Volatility Index,16.15,,0.37,0.06,17.39,15.8,Neutral
TSX,S&P/TSX Composite index,33093.32,CAD,-0.16,-51.66,33428.44,33068.16,Buy
UKX,UK 100 INDEX,10148.86,GBP,0.05,5.43,10184.9,10125.28,Buy
DAX,DAX Index,24933.08,EUR,0.13,32.37,24985.15,24790.74,Buy
PX1,CAC 40 Index,8131.15,EUR,-0.15,-11.9,8159.29,8106.06,Sell
FTMIB,MILANO ITALIA BORSA INDEX,44950.31,EUR,0.26,118.7,45092.64,44848.47,Buy
NI225,Japan 225 Index,52885.2,JPY,-1.79,-961.62,53138.67,52656.0,Buy
KOSPI,KOREA COMPOSITE STOCK PRICE INDEX (KOSPI),4949.6,KRW,-0.81,-40.48,5023.76,4940.78,Buy
000001,SSE Composite Index,4132.6052,CNY,-0.09,-3.559,4160.9852,4124.7004,Buy
399001,Shenzhen Component Index,14316.6368,CNY,-0.85,-123.0216,14532.8964,14277.6704,Buy
HSI,Hang Seng Index,26765.52,HKD,0.06,16.01,26911.44,26619.83,Strong buy
STI,STRAITS TIMES INDEX,4860.94,SGD,-0.62,-30.52,4898.14,4854.05,Buy
XJO,S&P/ASX 200 Index,8860.1,AUD,0.13,11.4,8885.2,8839.8,Strong buy
NZ50G,S&P/NZX 50 Gross Index,13459.23,NZD,-0.01,-1.51,13471.25,13451.76,Sell
FBMKLCI,FTSE Bursa Malaysia KLCI Index,1744.07,MYR,1.4,24.08,1746.98,1721.63,Strong buy
COMPOSITE,IDX Composite Index,8975.334,IDR,0.27,24.324,9058.046,8923.527,Buy
SX5E,STOXX 50,5957.81,EUR,0.16,9.62,5971.36,5926.3,Buy
IBC,IBEX 35 Index,17680.5,EUR,0.78,136.1,17722.0,17561.6,Strong buy
SMI,Swiss Market Index,13142.02,CHF,-0.04,-5.11,13164.2,13059.31,Neutral
WIG20,WIG20 Index,3356.01,PLN,1.71,56.46,3360.99,3297.49,Strong buy
AEX,AEX-Index,998.74,EUR,-0.14,-1.38,1002.99,995.61,Buy
BEL20,BEL 20 Index,5332.66,EUR,0.31,16.23,5350.66,5296.83,Strong buy
OMXH25,OMX Helsinki 25 Index,5903.5204,EUR,0.88,51.2209,5905.6857,5864.3418,Strong buy
OMXS30,OMX Stockholm 30 Index,3024.1507,SEK,0.35,10.5172,3032.098,3002.3436,Buy
OMXC25,OMX Copenhagen 25 Index,1931.3729,DKK,0.67,12.7916,1936.8065,1909.8648,Strong buy
BELEX15,BELEX 15 Index,1261.27,RSD,0.22,2.83,1261.98,1258.44,Buy
OMXRGI,OMX Riga Gross Index,935.376,EUR,-0.03,-0.3064,937.052,933.6351,Buy
OMXTGI,OMX Tallinn Gross Index,2076.4003,EUR,-0.1,-2.1709,2080.2525,2074.0737,Buy
XU100,BIST 100 Index,13177.32,TRY,1.42,184.61,13182.05,12886.22,Strong buy
TA35,TA-35 Index,4005.65,ILS,0.48,19.02,4014.39,3978.17,Buy
SA40,SOUTH AFRICA TOP 40 INDEX,116709.21,ZAR,2.06,2351.5,116709.21,114350.82,Strong buy
NIFTY,Nifty 50 Index,25048.65,INR,-0.95,-241.25,25347.95,25025.3,Sell
SENSEX,S&P BSE SENSEX Index,81537.7,INR,-0.94,-769.67,82516.27,81471.82,Sell
DFMGI,DFM General Index,6446.15,AED,-0.59,-38.23,6483.24,6336.16,Buy
TASI,Tadawul All Shares Index,11270.62,SAR,0.02,2.14,11277.61,11191.22,Strong buy
GNRI,QE Index,11322.05,QAR,1.21,135.27,11322.05,11186.78,Strong buy
EGX30,EGX 30 Index,47507.4,EGP,1.39,649.7,47507.4,46850.3,Strong buy
