symbol,name,price,currency,change_percent,change_points,day_high,day_low,tech_rating
SPX,S&P 500,7749.32,,0.59,45.19,7752.07,7693.08,Buy
IXIC,US Composite Index,27068.71,USD,0.48,129.33,27122.76,26876.27,Buy
DJI,Dow Jones Industrial Average,51844.55,,0.96,494.57,51874.94,51339.24,Sell
VIX,CBOE Volatility Index,14.8,,-5.55,-0.87,15.94,14.68,Strong sell
TSX,S&P/TSX Composite index,35803.06,,0.27,96.6,35816.06,35587.49,Sell
UKX,UK 100 INDEX,10695.26,GBP,0.14,15.26,10753.35,10666.95,Sell
DAX,DAX Index,25408.64,,0.56,142.11,25529.33,25347.3,Sell
PX1,CAC 40 Index,8077.8,,-0.04,-3.63,8136.29,8057.15,Strong sell
FTMIB,MILANO ITALIA BORSA INDEX,51866.94,EUR,0.63,323.5,52209.88,51657.97,Sell
NI225,Japan 225 Index,66363.98,JPY,1.3,850.21,66410.27,65639.62,Strong buy
KOSPI,KOREA COMPOSITE STOCK PRICE INDEX (KOSPI),7080.93,KRW,0.9,63.01,7153.99,7014.98,Buy
000001,SSE Composite Index,3888.37,,-1.22,-48.15,3930.5,3888.37,Strong sell
399001,Shenzhen Component Index,13316.97,,-2.34,-319.11,13577.86,13316.97,Strong sell
HSI,Hang Seng Index,24510.09,,-1.01,-251.04,24537.14,24275.56,Strong sell
STI,STRAITS TIMES INDEX,5711.13,SGD,0.49,27.75,5716.53,5665.35,Buy
XJO,S&P/ASX 200 Index,8665.0,,-0.43,-37.0,8702.0,8639.9,Strong sell
NZ50G,S&P/NZX 50 Gross Index,13811.11,,-0.1,-13.72,13853.25,13760.81,Buy
FBMKLCI,FBM KLCI,1671.62,,-0.04,-0.69,1675.47,1666.99,Strong sell
COMPOSITE,IDX Composite Index,6241.892,,-0.9,-56.715,6328.413,6231.833,Strong sell
SX5E,STOXX 50,6302.83,EUR,0.48,30.32,6338.03,6285.51,Neutral
IBC,IBEX 35 Index,19700.1,,0.65,126.7,19819.1,19655.5,Neutral
SMI,Swiss Market Index,13945.71,,0.29,39.89,14029.64,13924.9,Neutral
WIG20,WIG20 Index,4180.26,,-0.3,-12.64,4202.68,4169.69,Buy
AEX,AEX-Index,1112.09,,0.47,5.25,1117.13,1110.33,Strong buy
BEL20,BEL 20 Index,5704.3,,0.58,33.14,5737.98,5699.66,Sell
OMXH25,OMX Helsinki 25 Index,6521.7744,,0.06,3.9924,6608.8648,6519.6078,Buy
