symbol,name,price,currency,change_percent,change_points,day_high,day_low,tech_rating
SPX,S&P 500,7515.34,,-0.79,-60.05,7565.37,7506.41,Buy
IXIC,US Composite Index,25873.17,USD,-1.55,-408.44,26139.37,25822.09,Sell
DJI,Dow Jones Industrial Average,52498.64,,-0.26,-138.37,52846.51,52351.12,Buy
VIX,CBOE Volatility Index,17.16,,14.17,2.13,17.41,16.03,Sell
TSX,S&P/TSX Composite index,35252.72,,-0.15,-52.59,35416.94,35168.8,Buy
UKX,UK 100 INDEX,10498.3,GBP,0.01,1.0,10532.1,10465.0,Buy
DAX,DAX Index,25114.25,,0.19,47.16,25154.58,24963.8,Buy
PX1,CAC 40 Index,8364.65,,0.31,25.68,8375.37,8306.64,Buy
FTMIB,MILANO ITALIA BORSA INDEX,52809.34,EUR,0.37,195.18,52880.21,52430.03,Buy
NI225,Japan 225 Index,67242.51,JPY,-1.92,-1315.0,69078.21,66653.11,Sell
KOSPI,KOREA COMPOSITE STOCK PRICE INDEX (KOSPI),6806.94,KRW,-8.95,-669.01,7529.07,6783.43,Sell
000001,SSE Composite Index,3913.794,,-2.06,-82.3676,3983.0535,3900.6676,Strong sell
399001,Shenzhen Component Index,14522.8547,,-3.48,-523.8148,14997.0721,14437.0714,Sell
HSI,Hang Seng Index,24213.72,,0.16,38.6,24449.77,24095.73,Neutral
STI,STRAITS TIMES INDEX,5470.35,SGD,0.02,1.05,5474.85,5432.55,Buy
XJO,S&P/ASX 200 Index,8808.5,,0.03,2.5,8823.2,8769.8,Buy
NZ50G,S&P/NZX 50 Gross Index,13723.2,,-0.45,-62.47,13786.25,13670.41,Buy
FBMKLCI,FBM KLCI,1698.44,,0.41,6.95,1703.1,1685.74,Buy
COMPOSITE,IDX Composite Index,6037.842,,1.92,113.482,6037.842,5898.147,Neutral
SX5E,STOXX 50,6271.03,EUR,0.02,1.05,6282.96,6242.29,Buy
IBC,IBEX 35 Index,19335.7,,-0.25,-49.0,19440.6,19284.0,Buy
SMI,Swiss Market Index,14266.18,,0.22,31.09,14293.03,14209.61,Buy
WIG20,WIG20 Index,3772.63,,0.08,3.13,3784.29,3734.53,Strong buy
AEX,AEX-Index,1085.4,,0.11,1.17,1086.41,1079.87,Buy
BEL20,BEL 20 Index,5604.45,,0.19,10.37,5629.92,5580.63,Buy
OMXH25,OMX Helsinki 25 Index,6183.6775,,0.13,7.8848,6199.9923,6136.3694,Neutral
OMXS30,OMX Stockholm 30 Index,3167.157,,-0.33,-10.6203,3170.0646,3150.1969,Neutral
OMXC25,OMX Copenhagen 25 Index,1888.5342,,0.91,17.0784,1888.671,1868.7041,Strong buy
BELEX15,BELEX 15 Index,1208.06,,0.15,1.78,1212.65,1206.91,Sell
OMXTGI,OMX Tallinn Gross Index,2117.3488,,-0.11,-2.2298,2126.0375,2115.7154,Buy
XU100,BIST 100 Index,14092.02,,-1.6,-229.17,14265.51,14033.11,Sell
TA35,TA-35 Index,4058.08,,0.07,2.67,4058.08,3992.61,Sell
SA40,SOUTH AFRICA TOP 40 INDEX,101575.28,ZAR,-0.39,-401.37,102106.33,100923.32,Sell
NIFTY,Nifty 50 Index,24211.0,,0.02,4.1,24259.8,24000.2,Buy
SENSEX,BSE Sensex Index,77616.4,,0.06,47.01,77789.29,76857.43,Buy
DFMGI,DFM General Index,5967.43,,-1.24,-75.12,6041.2,5950.53,Sell
TASI,Tadawul All Shares Index,10801.71,,-0.16,-17.27,10870.45,10794.95,Sell
GNRI,QE Index,10103.22,,0.13,12.65,10123.64,10027.2,Sell
EGX30,EGX 30 Index,52608.3,,0.67,352.1,52661.8,52256.2,Buy
IBOV,Bovespa Index,175739.08,,-1.2,-2127.29,178153.9,175567.05,Buy
ME,S&P/BMV IPC Index,65973.08,,-0.79,-523.02,66614.98,65875.46,Sell
IMV,S&P MERVAL Index,3239008.33,,-1.26,-41215.26,3312466.37,3229118.53,Buy
ICAP,MSCI COLCAP Index,2307.67,,0.0,0.0,2307.67,2307.67,Buy
SP_IPSA,S&P IPSA Index,10927.71,,-1.17,-129.16,11056.87,10909.18,Buy
MXNUAMPEGEN,MSCI NUAM Peru General,56428.2,,-0.86,-489.62,57138.28,56428.2,Buy
SX5E,EURO STOXX® 50 Index – EUR (Price Return),6271.02,,0.02,1.05,6282.96,6242.29,Buy
S,SX7E EURO STOXX® Banks Index – EUR (Price Return),298.98,,-0.19,-0.56,300.84,297.85,Buy
S,SXXP STOXX® Europe 600 Index – EUR (Price Return),641.01,,-0.01,-0.09,641.77,638.46,Buy
BUX,Budapest Stock Exchange Index,141206.1,,-0.89,-1261.35,143629.44,141203.63,Buy
GD,ATHEX Composite Index,2512.07,,-0.05,-1.15,2516.67,2501.05,Buy
