symbol,name,price,currency,change_percent,change_points,day_high,day_low,tech_rating
SPX,S&P 500,6917.82,USD,-0.84,-58.63,6993.08,6862.05,Neutral
IXIC,US Composite Index,23255.18,USD,-1.43,-336.93,23691.6,23027.21,Sell
DJI,Dow Jones Industrial Average Index,49241.0,USD,-0.34,-166.67,49653.13,48832.78,Strong buy
VIX,CBOE Volatility Index,18.0,,10.16,1.66,20.37,16.05,Strong buy
TSX,S&P/TSX Composite index,32388.6,CAD,0.64,204.72,32540.07,32051.05,Neutral
UKX,UK 100 INDEX,10314.58,GBP,-0.26,-26.99,10373.28,10232.19,Strong buy
DAX,DAX Index,24780.79,EUR,-0.07,-16.73,25098.71,24703.62,Buy
PX1,CAC 40 Index,8179.5,EUR,-0.02,-1.67,8234.5,8129.33,Buy
FTMIB,MILANO ITALIA BORSA INDEX,46420.51,EUR,0.9,415.29,46528.48,46214.19,Strong buy
NI225,Japan 225 Index,54720.61,JPY,3.92,2065.43,54782.83,53307.74,Strong buy
KOSPI,KOREA COMPOSITE STOCK PRICE INDEX (KOSPI),5288.08,KRW,6.84,338.4,5288.08,5101.31,Strong buy
000001,SSE Composite Index,4067.7379,CNY,1.29,51.9915,4069.4179,4002.782,Buy
399001,Shenzhen Component Index,14127.1059,CNY,2.19,302.7547,14129.5971,13815.2286,Buy
HSI,Hang Seng Index,26834.77,HKD,0.22,59.2,27126.48,26431.8,Buy
STI,STRAITS TIMES INDEX,4944.1,SGD,1.06,51.82,4948.65,4910.4,Strong buy
XJO,S&P/ASX 200 Index,8857.1,AUD,0.89,78.5,8896.6,8778.6,Buy
NZ50G,S&P/NZX 50 Gross Index,13387.67,NZD,-0.25,-33.85,13421.52,13387.67,Sell
FBMKLCI,FTSE Bursa Malaysia KLCI Index,1748.26,,0.42,7.38,1757.51,1742.68,Strong buy
COMPOSITE,IDX Composite Index,8122.597,IDR,2.52,199.866,8122.597,7712.348,Sell
SX5E,STOXX 50,5995.36,EUR,-0.2,-12.16,6073.34,5973.41,Strong buy
IBC,IBEX 35 Index,18119.2,EUR,0.02,4.0,18271.2,18032.1,Strong buy
SMI,Swiss Market Index,13372.58,CHF,-0.27,-36.53,13498.35,13312.54,Strong buy
WIG20,WIG20 Index,3441.06,PLN,2.29,77.02,3441.06,3387.06,Strong buy
AEX,AEX-Index,993.99,EUR,-1.54,-15.52,1014.73,989.4,Buy
BEL20,BEL 20 Index,5499.51,EUR,0.74,40.19,5499.51,5452.7,Strong buy
OMXH25,OMX Helsinki 25 Index,5936.0034,EUR,0.92,54.1468,5941.0309,5872.5695,Buy
OMXS30,OMX Stockholm 30 Index,3087.3461,SEK,0.67,20.4853,3100.656,3066.0369,Strong buy
OMXC25,OMX Copenhagen 25 Index,1923.1631,DKK,-0.4,-7.8106,1941.2094,1916.8237,Buy
BELEX15,BELEX 15 Index,1274.69,RSD,-0.09,-1.13,1278.53,1274.57,Buy
OMXRGI,OMX Riga Gross Index,901.1361,EUR,-0.71,-6.4019,906.7745,900.105,Strong sell
OMXTGI,OMX Tallinn Gross Index,2096.6222,EUR,0.4,8.3049,2099.1331,2089.5006,Buy
XU100,BIST 100 Index,13875.32,TRY,1.87,254.37,13926.55,13660.78,Strong buy
TA35,TA-35 Index,4119.81,ILS,1.74,70.49,4135.91,4069.88,Strong buy
SA40,SOUTH AFRICA TOP 40 INDEX,112442.18,ZAR,1.36,1513.8,113063.08,110928.39,Buy
NIFTY,Nifty 50 Index,25727.55,INR,2.55,639.15,26341.2,25641.3,Buy
SENSEX,S&P BSE SENSEX Index,83739.13,INR,2.54,2072.67,85871.73,83501.22,Buy
DFMGI,DFM General Index,6613.52,AED,0.61,40.16,6644.4,6573.08,Strong buy
TASI,Tadawul All Shares Index,11328.52,SAR,0.07,7.43,11372.84,11300.68,Strong buy
GNRI,QE Index,11420.88,QAR,0.14,15.87,11422.54,11371.95,Strong buy
EGX30,EGX 30 Index,48978.5,EGP,2.88,1372.2,49235.8,47606.3,Strong buy
I,IBOV Bovespa Index,185674.43,BRL,1.58,2881.03,187333.83,182815.55,Strong buy
ME,S&P/BMV IPC Index,69735.06,MXN,3.16,2136.11,70111.74,67979.98,Strong buy
IMV,S&P MERVAL Index,3038541.17,ARS,-2.19,-68131.02,3132124.9,2997744.67,Sell
ICAP,MSCI COLCAP Index,2436.73,COP,0.59,14.22,2449.69,2416.55,Buy
SP_IPSA,S&P IPSA Index,11609.4,CLP,1.1,126.69,11674.72,11482.46,Buy
MXNUAMPEGEN,MSCI NUAM Peru General,55434.99,PEN,4.5,2387.31,55927.32,53023.69,Buy
BUX,Budapest Stock Exchange Index,130284.26,HUF,1.47,1893.24,130898.5,128333.67,Strong buy
GD,ATHEX Composite Index,2370.13,EUR,1.0,23.41,2379.56,2361.78,Strong buy
BET,Bucharest Exchange Trading Index,27453.65,RON,1.48,399.44,27576.49,27054.21,Strong buy
IDX30,IDX 30 Index,429.887,IDR,2.14,9.013,429.887,413.283,Sell
CAC40,CAC 40,8179.51,EUR,-0.02,-1.67,8234.5,8129.33,Buy
N100,Euronext 100 Index,1780.59,EUR,-0.16,-2.77,1797.39,1773.1,Strong buy
