symbol,name,price,currency,change_percent,change_points,day_high,day_low,tech_rating
SPX,S&P 500,6714.58,USD,-0.38,-25.71,6754.49,6699.96,Buy
IXIC,US Composite Index,22788.35,USD,-0.67,-153.31,23006.07,22718.76,Buy
DJI,Dow Jones Industrial Average Index,46602.99,USD,-0.2,-91.99,46868.49,46448.02,Buy
VIX,CBOE Volatility Index,17.24,,5.31,0.87,17.55,16.19,Buy
TSX,S&P/TSX Composite index,30351.72,CAD,-0.59,-180.16,30612.13,30278.19,Buy
UKX,UK 100 INDEX,9483.59,GBP,0.05,4.44,9507.11,9473.11,Buy
DAX,DAX Index,24385.78,EUR,0.03,7.49,24452.93,24308.04,Buy
PX1,CAC 40 Index,7974.85,EUR,0.04,3.07,8005.74,7934.13,Buy
FTMIB,MILANO ITALIA BORSA INDEX,43070.94,EUR,-0.17,-75.18,43415.28,42967.86,Buy
NI225,Japan 225 Index,47950.83,JPY,0.01,6.12,48527.33,47904.38,Buy
KOSPI,KOREA COMPOSITE STOCK PRICE INDEX (KOSPI),3549.22,KRW,2.7,93.38,3565.96,3512.16,Strong buy
000001,SSE Composite Index,3882.7774,CNY,0.52,20.2457,3887.57,3866.2808,Strong buy
399001,Shenzhen Component Index,13526.5091,CNY,0.35,47.0813,13598.1775,13460.3194,Buy
HSI,Hang Seng Index,26957.77,HKD,-0.67,-183.15,27145.17,26873.34,Buy
STI,STRAITS TIMES INDEX,4472.27,SGD,1.14,50.55,4474.12,4425.92,Strong buy
XJO,S&P/ASX 200 Index,8956.8,AUD,-0.27,-24.6,8981.4,8937.2,Buy
NZ50G,S&P/NZX 50 Gross Index,13514.23,NZD,-0.13,-17.06,13531.53,13502.71,Buy
FBMKLCI,FTSE Bursa Malaysia KLCI Index,1630.03,MYR,-0.49,-8.06,1636.5,1624.35,Buy
COMPOSITE,IDX Composite Index,8169.281,IDR,0.36,29.387,8217.046,8153.713,Buy
SX5E,STOXX 50,5613.63,EUR,-0.27,-15.08,5643.61,5610.5,Buy
IBC,IBEX 35 Index,15527.0,EUR,-0.19,-29.7,15620.2,15506.2,Buy
SMI,Swiss Market Index,12521.79,CHF,-0.24,-29.57,12580.3,12509.79,Buy
WIG20,WIG20 Index,2868.67,PLN,1.08,30.57,2877.5,2826.65,Buy
AEX,AEX-Index,960.71,EUR,-0.64,-6.23,968.62,959.92,Buy
BEL20,BEL 20 Index,4912.33,EUR,0.0,0.05,4912.33,4888.33,Buy
OMXH25,OMX Helsinki 25 Index,5030.4162,EUR,0.28,13.8381,5055.0029,5007.3623,Buy
OMXS30,OMX Stockholm 30 Index,2722.1157,SEK,-0.7,-19.1769,2740.8306,2721.134,Buy
OMXC25,OMX Copenhagen 25 Index,1697.2535,DKK,-0.19,-3.2916,1706.2682,1694.0115,Neutral
BELEX15,BELEX 15 Index,1218.28,RSD,-0.54,-6.66,1224.94,1218.28,Sell
OMXRGI,OMX Riga Gross Index,909.8417,EUR,-0.11,-1.036,911.5906,906.3411,Neutral
OMXTGI,OMX Tallinn Gross Index,1943.4692,EUR,-0.4,-7.7812,1952.2684,1943.1585,Sell
OMXVGI,OMX Vilnius Gross Index,1252.6598,EUR,0.36,4.5397,1253.8858,1249.5095,Strong buy
XU100,BIST 100 Index,10814.11,TRY,0.74,79.24,10847.37,10717.31,Neutral
TA35,TA-35 Index,3210.22,ILS,0.33,10.4,3277.2,3204.09,Strong buy
SA40,SOUTH AFRICA TOP 40 INDEX,102337.45,ZAR,-0.47,-479.74,102840.29,102072.15,Buy
NIFTY,Nifty 50 Index,25108.3,INR,0.12,30.65,25220.9,25076.3,Buy
SENSEX,S&P BSE SENSEX Index,81926.75,INR,0.17,136.63,82309.56,81787.48,Buy
DFMGI,DFM General Index,5940.1,AED,0.54,32.05,5949.55,5908.05,Buy
TASI,Tadawul All Shares Index,11583.23,SAR,-0.19,-21.97,11619.84,11540.97,Buy
